identifier,birth_place,native_language,other_languages,age,sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_name
kiswahili8,"nyeri, kenya",kiswahili,kikuyu maasai kamba,42.0,female,3.0,naturalistic,"kenya, usa",42 years,kiswahili8.mp3
kiswahili9,"tanga, tanzania",kiswahili,none,50.0,male,13.0,academic,usa,20 years,kiswahili9.mp3
kiswahili10,"hola, kenya",kiswahili,arabic oromo,27.0,female,8.0,academic,usa,1 years,kiswahili10.mp3
kiswahili11,"mombasa, kenya",kiswahili,none,58.0,male,7.0,academic,usa,28 years,kiswahili11.mp3
konkani1,"hyderabad, andhra pradesh, india",konkani,marathi hindi-urdu kannada,38.0,female,6.0,academic,india,38 years,konkani1.mp3
konkani2,"manipal, karnataka, india",konkani,hindi kannada tulu tamil,27.0,male,5.0,academic,usa,0.1 years,konkani2.mp3
konkani3,"bombay, india",konkani,hindi marathi gujarati french,23.0,male,4.0,academic,usa,0.2 years,konkani3.mp3
konkani4,"kannur, india",konkani,hindi bengali,51.0,female,13.0,academic,usa,30 years,konkani4.mp3
korean1,"ui jong bu, south korea",korean,french,29.0,male,13.0,academic,usa,1.1 years,korean1.mp3
korean2,"taegu, south korea",korean,none,23.0,female,14.0,academic,usa,0.1 years,korean2.mp3
korean3,"seoul, south korea",korean,spanish,19.0,female,17.0,academic,usa,0.6 years,korean3.mp3
korean4,"seoul, south korea",korean,none,29.0,female,15.0,academic,usa,2 years,korean4.mp3
korean5,"seoul, south korea",korean,none,50.0,female,12.0,academic,usa,23 years,korean5.mp3
korean6,"sunchun, south korea",korean,none,21.0,female,12.0,academic,,0 years,korean6.mp3
korean7,"seoul, south korea",korean,french,32.0,male,10.0,academic,usa,23 years,korean7.mp3
korean8,"seoul, south korea",korean,none,39.0,female,13.0,academic,usa,10 years,korean8.mp3
korean9,"taejon, south korea",korean,japanese,34.0,male,12.0,academic,"uk,australia",2 years,korean9.mp3
korean10,"gwangju, south korea",korean,none,34.0,male,13.0,academic,3.5,0 years,korean10.mp3
korean11,"seoul, south korea",korean,none,26.0,male,14.0,academic,philippines,0.3 years,korean11.mp3
korean12,"sokcho, south korea",korean,none,31.0,male,31.0,academic,usa,1 years,korean12.mp3
korean13,"pusan, south korea",korean,none,50.0,female,12.0,academic,usa,19 years,korean13.mp3
korean14,"kota kinabalu, malaysia",korean,german,22.0,female,8.0,academic,usa,4 years,korean14.mp3
korean15,"pusan, south korea",korean,japanese,42.0,male,40.0,academic,usa,1 years,korean15.mp3
korean16,"nonsan, south korea",korean,none,30.0,female,13.0,academic,usa,0.2 years,korean16.mp3
korean17,"cheju-do, south korea",korean,none,21.0,male,8.0,academic,usa,0.3 years,korean17.mp3
korean18,"seoul, south korea",korean,spanish,25.0,male,7.0,academic,usa,12 years,korean18.mp3
korean19,"seoul, south korea",korean,none,21.0,female,14.0,academic,usa,0.9 years,korean19.mp3
korean20,"inchon, south korea",korean,none,58.0,female,13.0,academic,usa,38 years,korean20.mp3
korean21,"ulsan, south korea",korean,none,21.0,male,12.0,academic,usa,7 years,korean21.mp3
korean22,"inchon, south korea",korean,french spanish,19.0,female,8.0,academic,,0 years,korean22.mp3
korean23,"seoul, south korea",korean,japanese,49.0,female,12.0,academic,usa,5 years,korean23.mp3
korean24,"seoul, south korea",korean,none,42.0,male,13.0,academic,usa,3 years,korean24.mp3
korean25,"anseong, kyong gi, south korea",korean,japanese,34.0,female,12.0,academic,usa,6 years,korean25.mp3
korean26,"seoul, south korea",korean,spanish,23.0,male,21.0,academic,canada,1.2 years,korean26.mp3
korean27,"haenam, south korea",korean,none,51.0,male,14.0,academic,usa,14 years,korean27.mp3
korean28,"seoul, south korea",korean,spanish,62.0,female,13.0,academic,usa,17 years,korean28.mp3
korean29,"masan, south korea",korean,japanese,19.0,female,8.0,naturalistic,usa,10 years,korean29.mp3
korean30,"seoul, south korea",korean,none,49.0,female,14.0,academic,usa,26 years,korean30.mp3
korean31,"seoul, south korea",korean,none,18.0,female,7.0,academic,usa,2 years,korean31.mp3
korean32,"seoul, south korea",korean,none,35.0,female,28.0,naturalistic,usa,7 years,korean32.mp3
korean33,"seongnam, south korea",korean,japanese,30.0,female,13.0,academic,usa,2 years,korean33.mp3
korean34,"seoul, south korea",korean,japanese,20.0,female,11.0,academic,usa,6 years,korean34.mp3
korean35,"gwangju, south korea",korean,japanese german spanish,48.0,male,12.0,academic,usa,6 years,korean35.mp3
korean36,"taegu, south korea",korean,japanese,51.0,female,12.0,academic,usa,28 years,korean36.mp3
korean37,"seoul, south korea",korean,none,27.0,female,14.0,academic,usa,13 years,korean37.mp3
korean38,"inchon, south korea",korean,spanish japanese spanish japanese,25.0,male,10.0,academic,usa,10 years,korean38.mp3
korean39,"pusan, south korea",korean,chinese,55.0,male,14.0,academic,usa,41 years,korean39.mp3
korean40,"seoul, south korea",korean,chinese,21.0,female,17.0,academic,usa,2 years,korean40.mp3
korean41,"seoul, south korea",korean,none,50.0,female,12.0,academic,usa,9 years,korean41.mp3
korean42,"bayside, new york, usa",korean,none,26.0,male,3.0,naturalistic,usa,13 years,korean42.mp3
korean43,"taejon, south korea",korean,none,20.0,male,13.0,academic,usa,6 years,korean43.mp3
korean44,"inchon, south korea",korean,none,49.0,male,14.0,academic,,0 years,korean44.mp3
korean45,"inchon, south korea",korean,none,28.0,male,13.0,academic,usa,11 years,korean45.mp3
korean46,"seoul, south korea",korean,japanese,21.0,female,21.0,academic,usa,0.3 years,korean46.mp3
korean47,"seoul, south korea",korean,chinese,23.0,male,10.0,academic,usa,10 years,korean47.mp3
korean48,"seoul, south korea",korean,none,32.0,male,27.0,academic,usa,6 years,korean48.mp3
korean49,"an yang, south korea",korean,japanese,22.0,female,7.0,academic,"usa, canada",1 years,korean49.mp3
korean50,"taejon, south korea",korean,none,57.0,female,13.0,academic,usa,30 years,korean50.mp3
korean51,"seoul, south korea",korean,none,25.0,male,16.0,academic,usa,10 years,korean51.mp3
korean52,"seoul, south korea",korean,none,40.0,male,12.0,academic,usa,2 years,korean52.mp3
korean53,"seoul, south korea",korean,spanish,25.0,female,9.0,academic,usa,16 years,korean53.mp3
korean54,"pohang, south korea",korean,none,34.0,male,16.0,academic,usa,1 years,korean54.mp3
korean55,"kimpo, south korea",korean,none,19.0,female,10.0,academic,usa,9 years,korean55.mp3
korean56,"seoul, south korea",korean,tagalog,20.0,female,7.0,naturalistic,usa,3 years,korean56.mp3
korean57,"suwon, south korea",korean,none,29.0,female,9.0,academic,usa,5 years,korean57.mp3
korean58,"seoul, south korea",korean,japanese,22.0,female,11.0,academic,usa,6 years,korean58.mp3
korean59,"seoul, south korea",korean,none,37.0,female,12.0,academic,usa,0.2 years,korean59.mp3
korean60,"seoul, south korea",korean,none,29.0,male,7.0,academic,usa,6 years,korean60.mp3
korean61,"taegu, south korea",korean,mandarin,22.0,female,9.0,academic,usa,6 years,korean61.mp3
korean62,"seoul, south korea",korean,spanish,25.0,male,12.0,academic,usa,7 years,korean62.mp3
korean63,"taejon, south korea",korean,none,25.0,male,9.0,academic,usa,1.5 years,korean63.mp3
korean64,"gwangju, south korea",korean,none,21.0,female,13.0,academic,usa,1 years,korean64.mp3
korean65,"gwangju, south korea",korean,mandarin,23.0,female,6.0,academic,usa,0.1 years,korean65.mp3
korean66,"seoul, south korea",korean,french,21.0,female,5.0,academic,usa,0.1 years,korean66.mp3
korean67,"seoul, south korea",korean,japanese french,21.0,female,5.0,academic,usa,0.1 years,korean67.mp3
korean68,"seoul, south korea",korean,spanish,62.0,female,25.0,academic,usa,34 years,korean68.mp3
korean69,"inchon, south korea",korean,spanish,23.0,female,10.0,academic,usa,12 years,korean69.mp3
korean70,"seoul, south korea",korean,none,53.0,female,3.0,academic,usa,15 years,korean70.mp3
korean71,"pusan, south korea",korean,none,22.0,male,12.0,academic,usa,9.5 years,korean71.mp3
korean72,"inchon, south korea",korean,none,55.0,male,13.0,academic,usa,35 years,korean72.mp3
korean73,"changwon, south korea",korean,chinese japanese,19.0,female,10.0,academic,usa,0.2 years,korean73.mp3
korean74,"seoul, south korea",korean,none,20.0,female,10.0,academic,usa,11 years,korean74.mp3
korean75,"bucheon, south korea",korean,none,22.0,male,10.0,academic,usa,0.1 years,korean75.mp3
korean76,"chuncheon, gangwon-do, south korea",korean,japanese,31.0,female,7.0,academic,usa,7 years,korean76.mp3
korean77,"seoul, south korea",korean,chinese,20.0,female,5.0,academic,usa,0.9 years,korean77.mp3
korean78,"inchon, south korea",korean,none,32.0,female,12.0,academic,usa,17 years,korean78.mp3
korean79,"anseong, south korea",korean,none,53.0,female,16.0,academic,usa,36 years,korean79.mp3
korean80,"seoul, south korea",korean,japanese spanish,42.0,female,13.0,academic,usa,19 years,korean80.mp3
korean81,"jeonju, south korea",korean,burmese,44.0,male,12.0,academic,usa,10 years,korean81.mp3
korean82,"pusan, south korea",korean,spanish,29.0,female,8.0,academic,usa,8.5 years,korean82.mp3
korean83,"pusan, south korea",korean,japanese,31.0,male,10.0,academic,usa,10 years,korean83.mp3
korean84,"inchon, south korea",korean,none,21.0,male,16.0,academic,new zealand,4 years,korean84.mp3
korean85,"seoul, south korea",korean,mandarin,20.0,female,14.0,academic,usa,5 years,korean85.mp3
korean86,"seoul, south korea",korean,mandarin,21.0,female,6.0,academic,"singapore, usa",2.5 years,korean86.mp3
korean87,"seoul, south korea",korean,none,20.0,male,8.0,academic,usa,0.4 years,korean87.mp3
korean88,"seoul, south korea",korean,none,24.0,female,9.0,academic,usa,4 years,korean88.mp3
korean89,"seoul, south korea",korean,none,18.0,male,5.0,academic,usa,2 years,korean89.mp3
korean90,"seoul, south korea",korean,japanese french,35.0,female,12.0,academic,usa,6.8 years,korean90.mp3
korean91,"seoul, south korea",korean,japanese,43.0,female,14.0,academic,usa,7 years,korean91.mp3
korean92,"seoul, south korea",korean,none,19.0,female,6.0,naturalistic,"mariana island, usa",12 years,korean92.mp3
korean93,"seoul, south korea",korean,french,23.0,female,7.0,academic,usa,0.8 years,korean93.mp3
korean94,"gwangju, south korea",korean,japanese,21.0,female,8.0,academic,,0 years,korean94.mp3
korean95,"seoul, south korea",korean,none,36.0,female,13.0,academic,usa,12 years,korean95.mp3
korean96,"seoul, south korea",korean,mandarin,21.0,female,10.0,academic,usa,0.7 years,korean96.mp3
korean97,"seoul, south korea",korean,none,49.0,female,13.0,academic,usa,15 years,korean97.mp3
korean98,"seoul, south korea",korean,none,23.0,male,8.0,academic,usa,1 years,korean98.mp3
korean99,"gwangju, south korea",korean,japanese,20.0,female,6.0,academic,,0 years,korean99.mp3
krio1,"freetown, sierra leone",krio,none,46.0,female,5.0,academic,usa,16 years,krio1.mp3
krio2,"freetown, sierra leone",krio,mandingo temne,26.0,male,5.0,naturalistic,"sierra leone, usa",26 years,krio2.mp3
krio3,"freetown, sierra leone",krio,french susu arabic,21.0,female,5.0,naturalistic,"sierra leone, usa",18 years,krio3.mp3
krio4,"freetown, sierra leone",krio,temne french fulani,48.0,female,7.0,academic,usa,30 years,krio4.mp3
krio5,"freetown, sierra leone",krio,oku,36.0,male,6.0,naturalistic,"sierra leone, usa",26 years,krio5.mp3
krio6,"freetown, sierra leone",krio,temne,26.0,female,3.0,academic,"sierra leone, usa",26 years,krio6.mp3
kru1,"margibi, liberia",kru,bassa,52.0,female,4.0,naturalistic,"liberia, usa",52 years,kru1.mp3
kurdish1,"arbil, iraq",kurdish,french farsi,24.0,male,15.0,academic,usa,1.5 years,kurdish1.mp3
kurdish2,"hawler, kurdistan, iraq",kurdish,farsi arabic,50.0,male,10.0,academic,usa,20 years,kurdish2.mp3
kurdish3,"sulaymaniyah, iraq",kurdish,none,33.0,female,12.0,academic,usa,10 years,kurdish3.mp3
kurdish4,"kirkuk, iraq",kurdish,arabic farsi,30.0,male,9.0,academic,usa,1 years,kurdish4.mp3
kurdish5,"sulaymaniyah, iraq",kurdish,arabic farsi,32.0,male,11.0,academic,usa,12 years,kurdish5.mp3
kurdish6,"sulaymaniyah, iraq",kurdish,arabic,57.0,female,11.0,academic,usa,12 years,kurdish6.mp3
kurdish7,"sanandaj, iran",kurdish,farsi,29.0,male,13.0,academic,,0 years,kurdish7.mp3
kurdish8,"sulaymaniyah, iraq",kurdish,none,55.0,female,39.0,naturalistic,usa,16 years,kurdish8.mp3
kurdish9,"sulaymaniyah, iraq",kurdish,arabic,57.0,male,40.0,naturalistic,usa,17 years,kurdish9.mp3
kurdish10,"sulaymaniyah, iraq",kurdish,arabic farsi,37.0,male,30.0,naturalistic,usa,7 years,kurdish10.mp3
kyrgyz1,"bishkek, kyrgyzstan",kyrgyz,russian,32.0,female,28.0,academic,usa,2 years,kyrgyz1.mp3
kyrgyz2,"bishkek, kyrgystan",kyrgyz,russian,18.0,female,13.0,academic,usa,0.1 years,kyrgyz2.mp3
kyrgyz3,"bishkek, kyrgystan",kyrgyz,russian turkish kazakh,29.0,female,6.0,academic,usa,0.5 years,kyrgyz3.mp3
lamaholot1,"leworook, nusa tenggara, indonesia",lamaholot,indonesian sikka kupang nagi,30.0,male,13.0,academic,usa,0.25 years,lamaholot1.mp3
lamotrekese1,"lamotrek island, federated states of micronesia",lamotrekese,chuukese ulithian pohnpeian,38.0,male,14.0,academic,usa,4 years,lamotrekese1.mp3
lao1,"savannakhet, laos",lao,none,19.0,female,12.0,academic,usa,1 years,lao1.mp3
lao2,"vientiane, laos",lao,thai,25.0,female,21.0,academic,usa,3 years,lao2.mp3
lao3,"pakxe, laos",lao,none,52.0,male,20.0,naturalistic,usa,33 years,lao3.mp3
latvian1,"riga, latvia",latvian,russian,24.0,female,13.0,academic,usa,0.2 years,latvian1.mp3
latvian2,"riga, latvia",latvian,hindi,70.0,female,11.0,naturalistic,"india, usa",57 years,latvian2.mp3
latvian3,"riga, latvia",latvian,none,19.0,female,5.0,academic,usa,5 years,latvian3.mp3
liberian pidgin english1,"monrovia, liberia",liberian pidgin english,none,28.0,female,14.0,naturalistic,"liberia, usa",28 years,liberian pidgin english1.mp3
liberian pidgin english2,"monrovia, liberia",liberian pidgin english,igbo,38.0,female,5.0,academic,usa,23 years,liberian pidgin english2.mp3
lingala1,"kinshasa, democratic republic of congo",lingala,french kikongo mbala kiswahili tshiluba,37.0,male,30.0,naturalistic,usa,7 years,lingala1.mp3
lithuanian1,"klaipeda, lithuania",lithuanian,russian german,27.0,female,24.0,naturalistic,usa,3 years,lithuanian1.mp3
lithuanian2,"vilnius, lithuania",lithuanian,russian,34.0,female,32.0,academic,usa,2 years,lithuanian2.mp3
lithuanian3,"kaunas, lithuania",lithuanian,russian,22.0,female,8.0,academic,usa,1.2 years,lithuanian3.mp3
lithuanian4,"klaipeda, lithuania",lithuanian,russian,23.0,female,12.0,academic,,0 years,lithuanian4.mp3
lithuanian5,"klaipeda, lithuania",lithuanian,russian italian spanish german,24.0,female,9.0,academic,ireland,0.75 years,lithuanian5.mp3
lithuanian6,"visaginas, lithuania",lithuanian,russian spanish,21.0,female,10.0,academic,,0 years,lithuanian6.mp3
lithuanian7,"panevezys, lithuania",lithuanian,french russian,41.0,female,25.0,naturalistic,usa,13 years,lithuanian7.mp3
lithuanian8,"kaunas, lithuania",lithuanian,russian,40.0,male,13.0,academic,usa,18 years,lithuanian8.mp3
luba-kasai1,"mbuji-mayi, democratic republic of the congo",luba-kasai,french lingala,19.0,male,18.0,academic,usa,0.8 years,luba-kasai1.mp3
luo1,"siaya, kenya",luo,swahili giriama,42.0,male,12.0,academic,"uk, usa",2 years,luo1.mp3
luo2,"maseno, kenya",luo,swahili french,33.0,female,5.0,academic,"usa, uk, kenya",4 years,luo2.mp3
luo3,"mombasa, kenya",luo,swahili,47.0,female,5.0,academic,"ireland, usa",12 years,luo3.mp3
luxembourgeois1,"luxembourg, luxembourg",luxembourgeois,german french italian spanish latin,54.0,female,12.0,academic,"uk, usa",4 years,luxembourgeois1.mp3
macedonian1,"ohrid, macedonia",macedonian,serbian bulgarian spanish,19.0,male,11.0,academic,usa,2.25 years,macedonian1.mp3
macedonian2,"stip, macedonia",macedonian,bulgarian,24.0,male,15.0,academic,usa,2 years,macedonian2.mp3
macedonian3,"stip, macedonia",macedonian,bulgarian serbian croatian,24.0,male,11.0,academic,usa,0.2 years,macedonian3.mp3
macedonian4,"stip, macedonia",macedonian,bulgarian serbian croatian,21.0,male,11.0,academic,"uk, usa",2.75 years,macedonian4.mp3
macedonian5,"skopje, macedonia",macedonian,none,19.0,female,11.0,naturalistic,,0 years,macedonian5.mp3
macedonian6,"skopje, macedonia",macedonian,spanish,19.0,male,9.0,academic,,0 years,macedonian6.mp3
macedonian7,"skopje, macedonia",macedonian,german,19.0,female,10.0,academic,,0 years,macedonian7.mp3
macedonian8,"skopje, macedonia",macedonian,spanish japanese,20.0,male,8.0,academic,,0 years,macedonian8.mp3
macedonian9,"skopje, macedonia",macedonian,italian,19.0,female,10.0,academic,,0 years,macedonian9.mp3
macedonian10,"skopje, macedonia",macedonian,german spanish,20.0,female,10.0,academic,,0 years,macedonian10.mp3
macedonian11,"skopje, macedonia",macedonian,italian german,20.0,female,8.0,academic,,0 years,macedonian11.mp3
macedonian12,"skopje, macedonia",macedonian,spanish german,20.0,female,10.0,academic,,0 years,macedonian12.mp3
macedonian13,"skopje, macedonia",macedonian,italian german,20.0,female,8.0,academic,,0 years,macedonian13.mp3
macedonian14,"skopje, macedonia",macedonian,serbian italian german,20.0,female,9.0,academic,,0 years,macedonian14.mp3
macedonian15,"skopje, macedonia",macedonian,italian,20.0,female,10.0,academic,,0 years,macedonian15.mp3
macedonian16,"skopje, macedonia",macedonian,italian spanish french,20.0,female,5.0,academic,,0 years,macedonian16.mp3
macedonian17,"skopje, macedonia",macedonian,aromanian german greek,24.0,male,6.0,academic,,0 years,macedonian17.mp3
macedonian18,"skopje, macedonia",macedonian,french,20.0,female,5.0,academic,,0 years,macedonian18.mp3
macedonian19,"skopje, macedonia",macedonian,polish,22.0,male,10.0,naturalistic,,0 years,macedonian19.mp3
macedonian20,"skopje, macedonia",macedonian,french serbian,19.0,female,10.0,academic,,0 years,macedonian20.mp3
macedonian21,"skopje, macedonia",macedonian,french spanish,19.0,female,12.0,academic,,0 years,macedonian21.mp3
macedonian22,"skopje, macedonia",macedonian,portuguese,21.0,female,8.0,academic,,0 years,macedonian22.mp3
macedonian23,"skopje, macedonia",macedonian,russian,20.0,female,11.0,academic,,0 years,macedonian23.mp3
macedonian24,"skopje, macedonia",macedonian,french,20.0,female,7.0,academic,,0 years,macedonian24.mp3
macedonian25,"skopje, macedonia",macedonian,serbian german,20.0,female,9.0,academic,,0 years,macedonian25.mp3
macedonian26,"ohrid, macedonia",macedonian,spanish serbian bulgarian,29.0,male,11.0,academic,usa,9.5 years,macedonian26.mp3
macedonian27,"skopje, macedonia",macedonian,swedish serbian bulgarian slovenian spanish,61.0,male,8.0,naturalistic,,0 years,macedonian27.mp3
malagasy1,"antananarivo, madagascar",malagasy,french,44.0,male,20.0,academic,usa,5 years,malagasy1.mp3
malagasy2,"antananarivo, madagascar",malagasy,french,21.0,male,12.0,academic,usa,2 years,malagasy2.mp3
malay1,"kuala lumpur, malaysia",malay,italian arabic spanish,28.0,female,3.0,academic,usa,10.5 years,malay1.mp3
malay2,"kuching, sarawak, malaysia",malay,arabic mandarin japanese,22.0,male,5.0,naturalistic,usa,3 years,malay2.mp3
malay3,"seremban, negeri sembilan, malaysia",malay,hindi arabic,43.0,female,6.0,academic,"uk, usa, india, new zealand",17 years,malay3.mp3
malay4,"kuala lumpur, malaysia",malay,french chaam,21.0,female,8.0,academic,,0.1 years,malay4.mp3
malay5,"kuala lumpur, malaysia",malay,spanish french mandarin cantonese,19.0,male,3.0,naturalistic,"malaysia, india",19 years,malay5.mp3
malay6,"johor bahru, johor, malaysia",malay,arabic,38.0,male,6.0,academic,,0 years,malay6.mp3
malayalam1,"kerala state, kerala state, india",malayalam,hindi-urdu,24.0,male,5.0,academic,usa,0.7 years,malayalam1.mp3
malayalam2,"trivandrum, kerala, india",malayalam,hindi tamil,29.0,female,5.0,academic,usa,4.5 years,malayalam2.mp3
malayalam3,"bangalore, india",malayalam,french kannada,19.0,female,3.5,naturalistic,usa,15 years,malayalam3.mp3
malayalam4,"dubai, united arab emirates",malayalam,hindi arabic,18.0,female,3.0,academic,,0 years,malayalam4.mp3
malayalam5,"bangalore, india",malayalam,kannada tamil hindi bengali,18.0,female,6.0,academic,"india, usa",18 years,malayalam5.mp3
malayalam6,"kasaragod, kerala, india",malayalam,hindi kannada urdu,27.0,male,10.0,naturalistic,,0 years,malayalam6.mp3
malayalam7,"bangalore, kerala, india",malayalam,hindi arabic,25.0,male,11.0,academic,,0 years,malayalam7.mp3
malayalam8,"trivandrum, kerala, india",malayalam,hindi tamil,51.0,female,3.0,academic,usa,21 years,malayalam8.mp3
maltese1,"mosta, malta",maltese,italian german french,30.0,female,4.0,academic,,0 years,maltese1.mp3
maltese2,"marsa, malta",maltese,none,74.0,female,6.0,academic,canada,48 years,maltese2.mp3
mandarin1,"shanxi province, shanxi, china",mandarin,none,26.0,female,13.0,academic,usa,2 years,mandarin1.mp3
mandarin2,"nanjing, china",mandarin,japanese,38.0,female,14.0,academic,usa,0.8 years,mandarin2.mp3
mandarin3,"jilin city, jilin, china",mandarin,italian german french,43.0,male,10.0,academic,usa,14 years,mandarin3.mp3
mandarin4,"shanghai, china",mandarin,japanese,24.0,female,6.0,academic,usa,1 years,mandarin4.mp3
mandarin5,"beijing, china",mandarin,none,31.0,female,12.0,academic,usa,2 years,mandarin5.mp3
mandarin6,"le shan, sichuan, china",mandarin,none,28.0,female,12.0,academic,usa,5 years,mandarin6.mp3
mandarin7,"berkeley, california, usa",mandarin,mandarin,22.0,male,5.0,naturalistic,usa,22 years,mandarin7.mp3
mandarin8,"jingmen, hubei, china",mandarin,none,29.0,male,12.0,academic,usa,5 years,mandarin8.mp3
mandarin9,"shanghai, china",mandarin,none,38.0,male,12.0,academic,usa,2 years,mandarin9.mp3
mandarin10,"beijing, china",mandarin,none,19.0,male,3.0,academic,south africa,3.75 years,mandarin10.mp3
mandarin11,"kao-hsiung, taiwan",mandarin,cantonese,53.0,female,13.0,academic,usa,33 years,mandarin11.mp3
mandarin12,"singapore, singapore",mandarin,cantonese spanish french,23.0,male,1.0,naturalistic,"singapore, uk",23 years,mandarin12.mp3
mandarin13,"nantou, taiwan",mandarin,taiwanese,29.0,male,13.0,academic,,0 years,mandarin13.mp3
mandarin14,"dalian, liaoning, china",mandarin,none,49.0,male,20.0,academic,usa,21 years,mandarin14.mp3
mandarin15,"tainan, taiwan",mandarin,french swedish japanese,28.0,female,11.0,academic,"new zealand, usa, uk",4 years,mandarin15.mp3
mandarin16,"taipei, taiwan",mandarin,taiwanese japanese,32.0,male,10.0,academic,usa,1.35 years,mandarin16.mp3
mandarin17,"wuhan, hubei, china",mandarin,none,26.0,male,13.0,academic,canada,2 years,mandarin17.mp3
mandarin18,"taoyuan, taiwan",mandarin,hakka,29.0,female,13.0,academic,,0 years,mandarin18.mp3
mandarin19,"qinzhou, guangxi, china",mandarin,none,27.0,male,13.0,academic,australia,0.33 years,mandarin19.mp3
mandarin20,"ping tong, taiwan",mandarin,russian,40.0,female,12.0,academic,usa,5 years,mandarin20.mp3
mandarin21,"chengdu, sichuan, china",mandarin,none,38.0,female,9.0,academic,usa,13 years,mandarin21.mp3
mandarin22,"haikou, hainan, china",mandarin,cantonese taiwanese,39.0,female,11.0,academic,usa,3 years,mandarin22.mp3
mandarin23,"kao-hsiung, taiwan",mandarin,cantonese taiwanese,46.0,female,13.0,academic,usa,22 years,mandarin23.mp3
mandarin24,"shanghai, china",mandarin,none,21.0,female,10.0,academic,,0 years,mandarin24.mp3
mandarin25,"wuxi, jiangsu, china",mandarin,german,28.0,female,13.0,academic,usa,0.8 years,mandarin25.mp3
mandarin26,"emei, sichuan, china",mandarin,none,31.0,female,12.0,academic,usa,3 years,mandarin26.mp3
mandarin27,"chengdu, sichuan, china",mandarin,none,18.0,male,15.0,academic,usa,3 years,mandarin27.mp3
mandarin28,"shanghai, china",mandarin,none,45.0,male,15.0,academic,usa,20 years,mandarin28.mp3
mandarin29,"lanzhou, gansu, china",mandarin,none,24.0,male,4.0,academic,,0 years,mandarin29.mp3
mandarin30,"taipei, taiwan",mandarin,none,27.0,male,13.0,academic,usa,1 years,mandarin30.mp3
mandarin31,"wenzhou, zhejiang, china",mandarin,none,26.0,female,13.0,academic,usa,2.5 years,mandarin31.mp3
mandarin32,"taipei, taiwan",mandarin,japanese,23.0,female,12.0,academic,usa,2 years,mandarin32.mp3
mandarin33,"beijing, china",mandarin,french,25.0,male,6.0,naturalistic,"thailand, australia, usa",20 years,mandarin33.mp3
mandarin34,"shi jia zhuang, hebei, china",mandarin,japanese,31.0,female,13.0,academic,,0 years,mandarin34.mp3
mandarin35,"yantai, shandong, china",mandarin,japanese,27.0,female,12.0,academic,,0 years,mandarin35.mp3
mandarin36,"beijing, china",mandarin,none,32.0,female,10.0,academic,,0 years,mandarin36.mp3
mandarin37,"huhot, nei meng gu, china",mandarin,none,32.0,female,12.0,academic,,0 years,mandarin37.mp3
mandarin38,"changsha, hunan, china",mandarin,none,33.0,female,12.0,academic,"australia, usa",0.1 years,mandarin38.mp3
mandarin39,"tie ling, liaoning, china",mandarin,russian,24.0,female,12.0,academic,,0 years,mandarin39.mp3
mandarin40,"chengdu, sichuan, china",mandarin,japanese thai,28.0,male,12.0,academic,"singapore, usa",9 years,mandarin40.mp3
mandarin41,"songyuan, jilin, china",mandarin,none,34.0,female,13.0,academic,,0 years,mandarin41.mp3
mandarin42,"yanbian, jilin, china",mandarin,none,47.0,female,16.0,academic,,0 years,mandarin42.mp3
mandarin43,"datong, shanxi, china",mandarin,none,24.0,female,15.0,academic,,0 years,mandarin43.mp3
mandarin44,"hangzhou, zhejiang, china",mandarin,none,21.0,male,16.0,academic,usa,1.5 years,mandarin44.mp3
mandarin45,"beijing, china",mandarin,none,42.0,female,12.0,academic,"usa, australia",0.1 years,mandarin45.mp3
mandarin46,"jilin city, jilin, china",mandarin,arabic,43.0,female,9.0,academic,,0 years,mandarin46.mp3
mandarin47,"beijing, china",mandarin,japanese french,28.0,female,8.0,academic,,0 years,mandarin47.mp3
mandarin48,"pingdingshan, henan, china",mandarin,none,37.0,male,12.0,academic,,0 years,mandarin48.mp3
mandarin49,"shanghai, china",mandarin,french,21.0,male,10.0,academic,australia,2.5 years,mandarin49.mp3
mandarin50,"hsinchu, taiwan",mandarin,taiwanese,25.0,male,9.0,academic,usa,0.2 years,mandarin50.mp3
mandarin51,"tianjin, hebei, china",mandarin,none,25.0,male,10.0,academic,usa,2 years,mandarin51.mp3
mandarin52,"shaoxing, zhejiang, china",mandarin,japanese,26.0,female,6.0,academic,usa,1 years,mandarin52.mp3
mandarin53,"ningbo, zhejiang, china",mandarin,none,38.0,female,13.0,academic,usa,15 years,mandarin53.mp3
mandarin54,"chengdu, sichuan, china",mandarin,japanese,25.0,female,10.0,academic,usa,5 years,mandarin54.mp3
mandarin55,"loudi, hunan, china",mandarin,japanese spanish,25.0,female,13.0,academic,usa,1.5 years,mandarin55.mp3
mandarin56,"baoding, hebei, china",mandarin,korean thai,26.0,female,11.0,academic,usa,0.7 years,mandarin56.mp3
mandarin57,"shanghai, china",mandarin,cantonese,20.0,male,12.0,academic,uk,0.2 years,mandarin57.mp3
mandarin58,"superior, colorado, usa",mandarin,french,23.0,male,7.0,naturalistic,usa,16 years,mandarin58.mp3
mandarin59,"kunming, yunnan, china",mandarin,none,20.0,female,6.0,academic,usa,0.4 years,mandarin59.mp3
mandarin60,"guiyang, guizhou, china",mandarin,cantonese,41.0,female,13.0,academic,usa,15 years,mandarin60.mp3
